#Coverage	Number of genomic locations
0.0	3.298231885E9
1.0	83515.0
2.0	83329.0
3.0	6946.0
4.0	4519.0
5.0	2567.0
6.0	2206.0
7.0	2143.0
8.0	1351.0
9.0	1060.0
10.0	1147.0
11.0	698.0
12.0	622.0
13.0	688.0
14.0	613.0
15.0	580.0
16.0	451.0
17.0	343.0
18.0	611.0
19.0	334.0
20.0	419.0
21.0	289.0
22.0	210.0
23.0	340.0
24.0	344.0
25.0	289.0
26.0	127.0
27.0	218.0
28.0	83.0
29.0	160.0
30.0	198.0
31.0	74.0
32.0	65.0
33.0	107.0
34.0	123.0
35.0	92.0
36.0	60.0
37.0	63.0
38.0	6.0
39.0	29.0
40.0	59.0
41.0	5.0
42.0	36.0
43.0	30.0
44.0	1.0
45.0	31.0
46.0	31.0
47.0	4.0
48.0	1.0
49.0	4.0
50.0	3.0
51.0	30.0
52.0	2.0
53.0	2.0
54.0	4.0
55.0	59.0
56.0	2.0
57.0	36.0
58.0	24.0
59.0	52.0
60.0	32.0
61.0	6.0
62.0	27.0
63.0	2.0
64.0	55.0
65.0	2.0
67.0	1.0
68.0	2.0
69.0	3.0
70.0	5.0
71.0	31.0
72.0	3.0
73.0	29.0
74.0	2.0
75.0	30.0
76.0	6.0
77.0	29.0
78.0	26.0
79.0	1.0
80.0	25.0
81.0	2.0
84.0	1.0
85.0	1.0
87.0	32.0
89.0	1.0
90.0	3.0
92.0	36.0
93.0	3.0
94.0	12.0
96.0	2.0
97.0	1.0
98.0	30.0
99.0	1.0
100.0	1.0
101.0	1.0
102.0	1.0
103.0	24.0
111.0	1.0
112.0	30.0
113.0	1.0
123.0	1.0
124.0	1.0
129.0	3.0
130.0	28.0
133.0	2.0
135.0	1.0
138.0	1.0
140.0	1.0
142.0	2.0
143.0	2.0
144.0	1.0
146.0	1.0
149.0	1.0
151.0	2.0
153.0	1.0
154.0	3.0
155.0	21.0
157.0	1.0
160.0	1.0
162.0	1.0
163.0	29.0
164.0	1.0
169.0	1.0
177.0	2.0
180.0	1.0
181.0	1.0
182.0	1.0
184.0	1.0
186.0	1.0
187.0	1.0
190.0	1.0
191.0	1.0
193.0	1.0
195.0	2.0
196.0	14.0
216.0	1.0
226.0	1.0
229.0	1.0
239.0	1.0
242.0	1.0
244.0	1.0
245.0	1.0
253.0	2.0
254.0	2.0
256.0	2.0
257.0	3.0
258.0	19.0
263.0	1.0
272.0	1.0
274.0	1.0
279.0	1.0
283.0	4.0
284.0	25.0
287.0	1.0
288.0	1.0
297.0	1.0
303.0	1.0
306.0	1.0
310.0	1.0
317.0	1.0
319.0	1.0
320.0	1.0
322.0	1.0
327.0	1.0
330.0	2.0
332.0	2.0
333.0	28.0
337.0	1.0
338.0	1.0
339.0	27.0
378.0	1.0
381.0	1.0
389.0	1.0
392.0	1.0
406.0	1.0
407.0	1.0
418.0	1.0
419.0	1.0
421.0	2.0
423.0	34.0
430.0	1.0
435.0	1.0
444.0	1.0
449.0	1.0
450.0	3.0
455.0	5.0
456.0	18.0
476.0	1.0
516.0	1.0
575.0	1.0
634.0	1.0
683.0	1.0
716.0	1.0
744.0	1.0
776.0	1.0
809.0	1.0
827.0	1.0
831.0	1.0
849.0	1.0
857.0	1.0
862.0	1.0
878.0	2.0
900.0	1.0
914.0	1.0
923.0	1.0
954.0	1.0
959.0	1.0
967.0	1.0
979.0	1.0
986.0	1.0
1012.0	1.0
1034.0	1.0
1060.0	1.0
1061.0	1.0
1069.0	1.0
1082.0	1.0
1101.0	1.0
1115.0	1.0
1140.0	1.0
1141.0	1.0
1147.0	1.0
1157.0	1.0
1173.0	1.0
1203.0	1.0
1223.0	1.0
1227.0	1.0
1240.0	1.0
1300.0	1.0
1304.0	1.0
1332.0	1.0
1339.0	1.0
1347.0	1.0
1349.0	1.0
1362.0	1.0
1363.0	1.0
1378.0	1.0
1390.0	1.0
1392.0	1.0
1394.0	3.0
1395.0	19.0
1400.0	1.0
1414.0	1.0
1428.0	1.0
1449.0	1.0
1457.0	1.0
1489.0	1.0
1492.0	1.0
1517.0	1.0
1541.0	1.0
1573.0	1.0
1576.0	1.0
1603.0	1.0
1620.0	1.0
1622.0	1.0
1704.0	2.0
1805.0	1.0
1818.0	1.0
1829.0	1.0
1880.0	1.0
1890.0	1.0
1901.0	1.0
1951.0	1.0
2000.0	1.0
2038.0	1.0
2055.0	1.0
2087.0	1.0
2089.0	1.0
2122.0	1.0
2141.0	1.0
2214.0	1.0
2250.0	1.0
2288.0	1.0
2411.0	1.0
2499.0	1.0
2538.0	1.0
2565.0	1.0
2719.0	1.0
2760.0	1.0
2767.0	1.0
2963.0	1.0
2971.0	1.0
3000.0	1.0
3018.0	1.0
3052.0	1.0
3107.0	1.0
3131.0	1.0
3160.0	1.0
3163.0	1.0
3164.0	1.0
3179.0	1.0
3183.0	2.0
3184.0	23.0
3248.0	1.0
3324.0	1.0
3411.0	1.0
3418.0	1.0
3477.0	1.0
3506.0	1.0
3690.0	1.0
3751.0	1.0
3897.0	1.0
4078.0	1.0
4104.0	1.0
4404.0	1.0
4716.0	1.0
5018.0	1.0
5303.0	1.0
5811.0	1.0
5828.0	1.0
5930.0	1.0
5952.0	1.0
6044.0	1.0
6161.0	1.0
6255.0	1.0
6287.0	1.0
6331.0	1.0
6449.0	1.0
6490.0	1.0
6514.0	1.0
6562.0	1.0
6564.0	1.0
6612.0	1.0
6641.0	1.0
6703.0	1.0
6730.0	1.0
6765.0	1.0
6834.0	1.0
6835.0	1.0
6845.0	1.0
6888.0	1.0
6905.0	1.0
6921.0	1.0
6976.0	1.0
7008.0	1.0
7022.0	1.0
7057.0	1.0
7069.0	1.0
7074.0	1.0
7116.0	1.0
7118.0	1.0
7134.0	1.0
7156.0	1.0
7173.0	1.0
7230.0	2.0
7253.0	1.0
7262.0	1.0
7282.0	1.0
7303.0	1.0
7321.0	1.0
7360.0	1.0
7367.0	1.0
7379.0	1.0
7394.0	1.0
7406.0	1.0
7443.0	1.0
7460.0	1.0
7476.0	1.0
7508.0	1.0
7520.0	1.0
7525.0	1.0
7527.0	1.0
7536.0	1.0
7564.0	1.0
7586.0	1.0
7593.0	1.0
7620.0	1.0
7636.0	1.0
7646.0	1.0
7661.0	1.0
7667.0	1.0
7671.0	1.0
7678.0	1.0
7712.0	1.0
7729.0	1.0
7754.0	1.0
7779.0	1.0
7781.0	1.0
7792.0	1.0
7817.0	1.0
7820.0	1.0
7821.0	1.0
7832.0	1.0
7839.0	1.0
7842.0	1.0
7846.0	1.0
7850.0	1.0
7852.0	2.0
7855.0	1.0
7859.0	1.0
7865.0	1.0
7866.0	1.0
7874.0	1.0
7880.0	1.0
7883.0	1.0
7885.0	1.0
7886.0	1.0
7887.0	1.0
7890.0	1.0
7892.0	1.0
7896.0	1.0
7903.0	1.0
7906.0	1.0
7909.0	1.0
7918.0	1.0
7922.0	1.0
7929.0	1.0
7936.0	1.0
7938.0	1.0
7939.0	1.0
7940.0	1.0
7974.0	1.0
7977.0	1.0
7978.0	1.0
7982.0	1.0
7988.0	1.0
7992.0	1.0
8005.0	1.0
8009.0	1.0
8010.0	1.0
8042.0	1.0
8044.0	1.0
8054.0	1.0
8055.0	1.0
8082.0	2.0
8093.0	1.0
8122.0	2.0
8144.0	1.0
8148.0	1.0
8158.0	1.0
8170.0	1.0
8176.0	1.0
8186.0	1.0
8193.0	1.0
8198.0	1.0
8216.0	1.0
8220.0	1.0
8241.0	1.0
8251.0	1.0
8275.0	1.0
8282.0	1.0
8292.0	1.0
8309.0	1.0
8319.0	1.0
8320.0	1.0
8322.0	1.0
8330.0	2.0
8340.0	1.0
8355.0	1.0
8368.0	1.0
8383.0	1.0
8388.0	1.0
8389.0	1.0
8415.0	1.0
8417.0	1.0
8426.0	1.0
8428.0	1.0
8439.0	3.0
8478.0	1.0
8490.0	1.0
8500.0	1.0
8532.0	1.0
8579.0	1.0
8604.0	1.0
8652.0	1.0
8667.0	1.0
