#Coverage (X)	Coverage
1.0	0.006025623150321735
2.0	0.003493661462584896
3.0	9.673388202173783E-4
4.0	7.567538249162453E-4
5.0	6.197492764243862E-4
6.0	5.419243868516332E-4
7.0	4.7504409609189224E-4
8.0	4.1007380455937437E-4
9.0	3.691149320133036E-4
10.0	3.369784369056106E-4
11.0	3.022043238019023E-4
12.0	2.8104274494467063E-4
13.0	2.621852921578238E-4
14.0	2.413268877887731E-4
15.0	2.2274229203844698E-4
16.0	2.0515817207922282E-4
17.0	1.9148500292942572E-4
18.0	1.810861181894552E-4
19.0	1.6256215732823875E-4
20.0	1.5243612962478892E-4
21.0	1.3973311882864436E-4
22.0	1.3097137629358713E-4
23.0	1.2460471216968472E-4
24.0	1.1429677977048414E-4
25.0	1.0386757757885334E-4
26.0	9.51058350437961E-5
27.0	9.125551912347873E-5
28.0	8.46463154147159E-5
29.0	8.212996721113086E-5
30.0	7.727917549971153E-5
31.0	7.127632075309975E-5
32.0	6.90328295860354E-5
33.0	6.706219545549175E-5
34.0	6.381822849732544E-5
35.0	6.0089182369438277E-5
36.0	5.7299977129332547E-5
37.0	5.548093024287937E-5
38.0	5.357093100144539E-5
39.0	5.338902630569464E-5
40.0	5.250982030702289E-5
41.0	5.0721090858019124E-5
42.0	5.0569503613928646E-5
43.0	4.947807548205674E-5
44.0	4.856855203172472E-5
45.0	4.8538234580064454E-5
46.0	4.7598393692283025E-5
47.0	4.6658552804501596E-5
48.0	4.6537283012071384E-5
49.0	4.650696556041112E-5
50.0	4.6385695767980906E-5
51.0	4.629474342721096E-5
