#Insert size (bp)	insert size
1.0	217.0
2.0	207.0
3.0	186.0
4.0	129.0
5.0	117.0
6.0	117.0
7.0	123.0
8.0	94.0
9.0	86.0
10.0	108.0
11.0	101.0
12.0	104.0
13.0	97.0
14.0	74.0
15.0	62.0
16.0	40.0
17.0	62.0
18.0	60.0
19.0	1540.0
20.0	866.0
21.0	617.0
22.0	300.0
23.0	198.0
24.0	104.0
25.0	84.0
26.0	89.0
27.0	87.0
28.0	72.0
29.0	69.0
30.0	83.0
31.0	60.0
32.0	87.0
33.0	100.0
34.0	86.0
35.0	90.0
36.0	88.0
37.0	81.0
38.0	83.0
39.0	73.0
40.0	74.0
41.0	61.0
42.0	58.0
43.0	66.0
44.0	61.0
45.0	87.0
46.0	62.0
47.0	75.0
48.0	64.0
49.0	72.0
50.0	166.0
51.0	69.0
52.0	83.0
53.0	68.0
54.0	72.0
55.0	69.0
56.0	58.0
57.0	77.0
58.0	63.0
59.0	77.0
60.0	68.0
61.0	59.0
62.0	80.0
63.0	60.0
64.0	76.0
65.0	67.0
66.0	70.0
67.0	63.0
68.0	71.0
69.0	70.0
70.0	70.0
71.0	104.0
72.0	97.0
73.0	84.0
74.0	87.0
75.0	86.0
76.0	68.0
77.0	80.0
78.0	81.0
79.0	78.0
80.0	72.0
81.0	76.0
82.0	65.0
83.0	64.0
84.0	77.0
85.0	201.0
86.0	71.0
87.0	69.0
88.0	76.0
89.0	64.0
90.0	74.0
91.0	51.0
92.0	70.0
93.0	67.0
94.0	70.0
95.0	68.0
96.0	78.0
97.0	76.0
98.0	101.0
99.0	126.0
100.0	93.0
101.0	81.0
102.0	92.0
103.0	98.0
104.0	95.0
105.0	95.0
106.0	96.0
107.0	90.0
108.0	98.0
109.0	89.0
110.0	98.0
111.0	83.0
112.0	75.0
113.0	75.0
114.0	73.0
115.0	93.0
116.0	91.0
117.0	81.0
118.0	85.0
119.0	125.0
120.0	85.0
121.0	118.0
122.0	78.0
123.0	102.0
124.0	67.0
125.0	83.0
126.0	69.0
127.0	68.0
128.0	63.0
129.0	95.0
130.0	71.0
131.0	72.0
132.0	66.0
133.0	75.0
134.0	104.0
135.0	290.0
136.0	85.0
137.0	122.0
138.0	55.0
139.0	67.0
140.0	59.0
141.0	23.0
142.0	34.0
143.0	21.0
144.0	18.0
145.0	26.0
146.0	26.0
147.0	24.0
148.0	25.0
149.0	23.0
150.0	33.0
151.0	27.0
152.0	30.0
153.0	21.0
154.0	21.0
155.0	24.0
156.0	22.0
157.0	20.0
158.0	19.0
159.0	14.0
160.0	12.0
161.0	5.0
162.0	18.0
163.0	18.0
164.0	21.0
165.0	16.0
166.0	12.0
167.0	13.0
168.0	16.0
169.0	23.0
170.0	14.0
171.0	30.0
172.0	17.0
173.0	32.0
174.0	11.0
175.0	14.0
176.0	13.0
177.0	10.0
178.0	11.0
179.0	17.0
180.0	8.0
181.0	14.0
182.0	15.0
183.0	16.0
184.0	22.0
185.0	30.0
186.0	25.0
187.0	21.0
188.0	19.0
189.0	20.0
190.0	25.0
191.0	16.0
192.0	25.0
193.0	21.0
194.0	25.0
195.0	22.0
196.0	15.0
197.0	19.0
198.0	18.0
199.0	15.0
200.0	14.0
201.0	19.0
202.0	25.0
203.0	21.0
204.0	16.0
205.0	26.0
206.0	36.0
207.0	34.0
208.0	34.0
209.0	32.0
210.0	20.0
211.0	21.0
212.0	26.0
213.0	32.0
214.0	22.0
215.0	20.0
216.0	33.0
217.0	34.0
218.0	43.0
219.0	41.0
220.0	32.0
221.0	30.0
222.0	41.0
223.0	40.0
224.0	39.0
225.0	53.0
226.0	54.0
227.0	44.0
228.0	61.0
229.0	42.0
230.0	58.0
231.0	56.0
232.0	50.0
233.0	119.0
234.0	162.0
235.0	59.0
236.0	60.0
237.0	44.0
238.0	48.0
239.0	99.0
240.0	70.0
241.0	79.0
242.0	64.0
243.0	56.0
244.0	63.0
245.0	84.0
246.0	56.0
247.0	40.0
248.0	45.0
249.0	30.0
250.0	33.0
251.0	44.0
252.0	46.0
253.0	51.0
254.0	41.0
255.0	47.0
256.0	165.0
257.0	43.0
258.0	42.0
259.0	12.0
260.0	5.0
261.0	9.0
262.0	5.0
263.0	4.0
264.0	5.0
265.0	5.0
267.0	2.0
268.0	5.0
269.0	3.0
270.0	4.0
271.0	3.0
272.0	1.0
