#Mapping quality	mapping quality
0.0	117172.0
1.0	3405.0
2.0	2355.0
3.0	2680.0
4.0	2081.0
5.0	1990.0
6.0	4112.0
7.0	1461.0
8.0	1096.0
9.0	1495.0
10.0	1146.0
11.0	823.0
12.0	4040.0
13.0	1703.0
14.0	498.0
15.0	2972.0
16.0	297.0
17.0	342.0
18.0	2966.0
19.0	384.0
20.0	323.0
21.0	515.0
22.0	261.0
23.0	167.0
24.0	1927.0
25.0	343.0
26.0	316.0
27.0	471.0
28.0	392.0
29.0	291.0
30.0	2309.0
31.0	382.0
32.0	80.0
33.0	973.0
34.0	153.0
35.0	154.0
36.0	2281.0
37.0	123.0
38.0	96.0
39.0	324.0
40.0	13559.0
41.0	276.0
42.0	1229.0
43.0	548.0
44.0	162.0
45.0	519.0
46.0	4486.0
47.0	520.0
48.0	626.0
49.0	469.0
50.0	137.0
51.0	312.0
52.0	2424.0
53.0	319.0
54.0	270.0
55.0	224.0
56.0	104.0
57.0	144.0
58.0	843.0
59.0	172.0
60.0	6509.0
