#Position (bp)	Coverage
4123039.0	4.415432938596135E-4
1.2369116E7	3.260944567944248E-4
2.0615193E7	2.178005371523938E-4
2.886127E7	2.0361197209291156E-4
3.7107347E7	2.13919903973732E-4
4.5353424E7	0.013771518262562914
5.3599501E7	3.885483970135132E-4
6.1845578E7	2.048246699612434E-4
7.0091655E7	1.812983313156062E-4
7.8337732E7	1.382475569898268E-4
8.6583809E7	9.349900564838286E-5
9.4829886E7	1.7984309387360803E-4
1.03075963E8	4.7052677291274384E-5
1.1132204E8	2.5794083659417687E-4
1.19568117E8	5.4692673861764814E-5
1.27814194E8	0.0
1.36060271E8	0.0
1.44306348E8	2.0943292186090427E-4
1.52552425E8	1.9536562658825524E-4
1.60798502E8	2.0421832102707747E-4
1.69044579E8	5.0933310469936186E-5
1.77290656E8	1.3715612890832817E-4
1.85536733E8	1.226037544883464E-4
1.9378281E8	6.439425680841932E-5
2.02028887E8	4.470004342671067E-4
2.10274964E8	1.6007611861979944E-4
2.18521041E8	1.1617645578618778E-4
2.26767118E8	3.0293192750928714E-4
2.35013195E8	1.8760436023093163E-4
2.43259272E8	3.131185896032744E-4
2.481693665E8	1.5373747230184383E-4
2.4904395E8	0.0
2.491474935E8	0.0
2.492273505E8	0.0
2.493246215E8	0.0
2.493781395E8	0.0
2.494193325E8	0.0
2.49528459E8	0.0
2.49636853E8	0.0
2.49678084E8	0.0
2.52663665E8	1.3407662943159098E-4
2.59751426E8	1.8360245726543664E-4
2.67997503E8	1.9257642149109208E-4
2.7624358E8	5.38801662899825E-4
2.84489657E8	0.3995371374776151
2.92735734E8	2.9177510712063444E-4
3.00981811E8	4.688289958970793E-4
3.09227888E8	3.06206211753783E-4
3.17473965E8	2.2859354818054693E-4
3.25720042E8	2.2180244011788878E-4
3.33966119E8	6.160505171125616E-5
3.42212196E8	7.288314188674202E-5
3.50458273E8	3.559268243553874E-4
3.5870435E8	5.6632990451095715E-5
3.66950427E8	1.2551422937234275E-4
3.75196504E8	1.0950661751036281E-4
3.83442581E8	1.2539295958550957E-4
3.91688658E8	4.038283901544941E-5
3.99934735E8	7.042136521402845E-4
4.08180812E8	1.199358191780164E-4
4.16426889E8	1.5886342075146763E-4
4.24672966E8	4.608251899660893E-5
4.32919043E8	2.0009514827474932E-4
4.4116512E8	7.276187209990884E-5
4.49411197E8	2.405992570770319E-4
4.57657274E8	2.2774465967271467E-4
4.65903351E8	2.830436824686454E-4
4.74149428E8	9.58031315982133E-5
4.82395505E8	1.8433007598643572E-4
4.892055075E8	2.3055761074580828E-4
4.91973207E8	0.0
4.92130842E8	0.0
4.93486181E8	4.615001335612675E-5
